,job_title,experience_level,company_size,company_location,employment_type,remote_ratio,years_experience,salary_usd
54,Machine Learning Engineer,Mid,Small,UK,Contract,0,1.0,88269.0
55,Business Intelligence Analyst,Mid,Medium,India,Full-time,100,13.0,107056.0
56,Machine Learning Engineer,Entry,Medium,India,Part-time,0,2.0,39192.0
57,AI Engineer,Mid,Small,USA,Contract,50,11.0,104416.0
58,AI Engineer,Mid,Large,Germany,Part-time,0,9.0,92226.0
59,AI Engineer,Mid,Large,USA,Full-time,100,9.0,85886.0
60,AI Engineer,Senior,Medium,India,Part-time,50,14.0,158584.0
61,Business Intelligence Analyst,Entry,Large,India,Full-time,0,3.0,43830.0
62,Data Analyst,Mid,Medium,Canada,Contract,0,6.0,81530.0
63,Data Engineer,Mid,Small,UK,Full-time,50,1.0,48591.0
64,Data Scientist,Mid,Small,India,Contract,50,2.0,68565.0
65,AI Engineer,Entry,Medium,Australia,Contract,100,6.0,56738.0
66,Machine Learning Engineer,Entry,Small,Australia,Full-time,50,6.0,42631.0
67,AI Engineer,Senior,Small,USA,Contract,100,14.0,167905.0
68,Machine Learning Engineer,Mid,Medium,USA,Part-time,0,9.0,104056.0
69,Data Engineer,Mid,Medium,UK,Contract,100,2.0,61370.0
70,Data Engineer,Mid,Small,UK,Full-time,0,11.0,113721.0
71,Data Engineer,Mid,Large,Canada,Part-time,50,0.0,88269.0
72,Machine Learning Engineer,Entry,Large,Germany,Part-time,0,11.0,67679.0
73,AI Engineer,Mid,Medium,USA,Contract,50,2.0,54422.0
74,Data Engineer,Mid,Medium,UK,Contract,0,4.0,67463.0
75,Business Intelligence Analyst,Senior,Large,India,Full-time,0,6.0,119613.0
76,Machine Learning Engineer,Entry,Small,UK,Part-time,0,3.0,42510.0
77,Machine Learning Engineer,Mid,Large,India,Full-time,0,12.0,101780.0
78,AI Engineer,Mid,Large,USA,Contract,100,12.0,109424.0
79,Machine Learning Engineer,Mid,Large,India,Part-time,0,10.0,96571.0
80,Machine Learning Engineer,Mid,Large,USA,Full-time,100,10.0,90825.0
81,Data Engineer,Mid,Medium,Germany,Full-time,50,14.0,121155.0
82,AI Engineer,Senior,Medium,Canada,Full-time,50,0.0,82395.0
83,Data Engineer,Senior,Small,Australia,Full-time,100,5.0,88269.0
84,Data Engineer,Mid,Small,Australia,Full-time,50,1.0,60779.0
85,AI Engineer,Senior,Small,Australia,Part-time,50,11.0,140492.0
86,Data Scientist,Mid,Small,India,Full-time,0,2.0,57111.0
87,Data Engineer,Mid,Large,UK,Part-time,0,3.0,68087.0
88,Business Intelligence Analyst,Entry,Medium,Australia,Full-time,0,5.0,44984.0
89,Business Intelligence Analyst,Executive,Medium,Germany,Contract,100,5.0,151792.0
90,Machine Learning Engineer,Entry,Small,Australia,Contract,100,6.0,59935.0
91,Business Intelligence Analyst,Entry,Small,USA,Full-time,50,7.0,37711.0
92,Machine Learning Engineer,Entry,Large,India,Contract,0,6.0,41565.0
93,Data Scientist,Mid,Large,USA,Part-time,100,1.0,88269.0
94,AI Engineer,Entry,Small,USA,Full-time,100,7.0,16459.0
95,AI Engineer,Entry,Medium,USA,Part-time,0,11.0,69096.0
96,AI Engineer,Entry,Medium,Canada,Full-time,100,9.0,56019.0
97,Business Intelligence Analyst,Entry,Medium,India,Contract,0,7.0,54476.0
98,Data Scientist,Mid,Small,UK,Part-time,50,0.0,48254.0
99,Business Intelligence Analyst,Mid,Medium,India,Contract,50,7.0,106584.0
100,Business Intelligence Analyst,Mid,Large,Germany,Contract,50,7.0,50965.0
101,Data Scientist,Mid,Large,India,Full-time,0,10.0,101464.0
102,Data Scientist,Mid,Small,Germany,Part-time,100,11.0,113653.0
103,Data Scientist,Entry,Large,India,Contract,50,9.0,67439.0
104,Data Scientist,Mid,Small,Canada,Full-time,50,5.0,69721.0
105,AI Engineer,Executive,Medium,India,Full-time,50,0.0,128408.0
106,Data Analyst,Mid,Medium,USA,Full-time,100,9.0,85195.0
107,Data Analyst,Entry,Medium,Canada,Contract,100,2.0,23273.0
108,Data Scientist,Mid,Large,Canada,Full-time,0,6.0,85330.0
109,Data Analyst,Mid,Small,Australia,Part-time,50,11.0,105886.0
110,Data Analyst,Mid,Medium,Australia,Part-time,100,7.0,78212.0
111,Data Scientist,Entry,Small,India,Contract,0,3.0,27755.0
112,Data Analyst,Entry,Medium,India,Part-time,50,11.0,82905.0
113,Business Intelligence Analyst,Entry,Large,India,Full-time,100,2.0,21080.0
114,Machine Learning Engineer,Senior,Large,USA,Contract,100,0.0,95501.0
115,Machine Learning Engineer,Senior,Small,UK,Full-time,0,11.0,152105.0
116,Data Scientist,Entry,Large,India,Contract,50,8.0,64047.0
117,AI Engineer,Entry,Large,Australia,Contract,50,9.0,72946.0
118,Data Scientist,Senior,Small,UK,Full-time,100,5.0,105639.0
119,AI Engineer,Entry,Medium,USA,Part-time,50,5.0,47502.0
120,Machine Learning Engineer,Entry,Large,UK,Part-time,0,8.0,55190.0
121,Data Scientist,Executive,Small,Germany,Contract,100,0.0,123736.0
122,Data Engineer,Entry,Large,UK,Full-time,100,5.0,51473.0
123,Business Intelligence Analyst,Mid,Large,India,Full-time,0,11.0,96251.0
124,Data Analyst,Executive,Large,USA,Contract,100,4.0,149294.0
125,AI Engineer,Mid,Large,India,Part-time,50,12.0,116732.0
126,Data Engineer,Entry,Small,Australia,Full-time,50,10.0,64052.0
127,Data Analyst,Entry,Small,Germany,Part-time,100,14.0,99325.0
128,Data Analyst,Senior,Small,Australia,Part-time,0,5.0,105271.0
129,Data Scientist,Senior,Large,India,Contract,0,7.0,163414.0
130,Data Analyst,Senior,Large,India,Contract,50,10.0,141698.0
131,Business Intelligence Analyst,Entry,Large,India,Part-time,0,7.0,60889.0
132,Data Engineer,Senior,Small,Canada,Full-time,100,4.0,109657.0
133,Data Analyst,Senior,Large,Germany,Full-time,100,1.0,94387.0
134,Data Scientist,Mid,Medium,India,Contract,50,11.0,111376.0
135,Business Intelligence Analyst,Senior,Large,India,Part-time,50,11.0,146279.0
136,Machine Learning Engineer,Senior,Medium,Australia,Full-time,50,1.0,97015.0
137,Data Engineer,Mid,Large,Australia,Full-time,0,9.0,92041.0
138,Data Analyst,Mid,Small,India,Contract,100,4.0,77510.0
139,Data Scientist,Mid,Large,USA,Part-time,100,2.0,58708.0
140,Machine Learning Engineer,Entry,Medium,Canada,Full-time,100,9.0,65857.0
141,Machine Learning Engineer,Mid,Medium,Australia,Contract,50,2.0,59493.0
142,AI Engineer,Mid,Large,USA,Full-time,100,7.0,83052.0
143,Business Intelligence Analyst,Senior,Medium,India,Full-time,0,6.0,126995.0
144,Data Analyst,Executive,Medium,India,Full-time,0,7.0,137133.0
145,Data Scientist,Senior,Small,Germany,Contract,100,11.0,148580.0
146,AI Engineer,Entry,Large,UK,Part-time,50,12.0,88240.0
147,Business Intelligence Analyst,Entry,Large,UK,Contract,100,7.0,82910.0
148,AI Engineer,Entry,Large,India,Part-time,0,4.0,40216.0
149,Data Engineer,Mid,Medium,Australia,Full-time,0,8.0,86229.0
150,Business Intelligence Analyst,Senior,Large,USA,Part-time,0,3.0,108343.0
151,Business Intelligence Analyst,Senior,Large,Germany,Full-time,100,0.0,88269.0
152,Data Analyst,Mid,Small,Canada,Full-time,0,7.0,90438.0
153,Business Intelligence Analyst,Senior,Small,India,Contract,50,4.0,107865.0
154,AI Engineer,Senior,Small,Germany,Full-time,100,1.0,101557.0
155,Business Intelligence Analyst,Mid,Medium,Germany,Contract,100,14.0,122211.0
156,Data Analyst,Senior,Large,Australia,Part-time,0,11.0,88269.0
157,Data Analyst,Mid,Small,Canada,Part-time,0,0.0,43646.0
158,Data Engineer,Entry,Small,Germany,Full-time,50,13.0,93747.0
159,AI Engineer,Mid,Small,Australia,Contract,100,11.0,105048.0
160,Machine Learning Engineer,Mid,Large,USA,Full-time,0,11.0,106344.0
161,Machine Learning Engineer,Mid,Large,Australia,Contract,50,11.0,113280.0
162,Business Intelligence Analyst,Mid,Large,India,Contract,0,2.0,59910.0
163,Data Engineer,Mid,Medium,USA,Contract,100,8.0,81778.0
164,Data Scientist,Mid,Medium,Germany,Part-time,0,0.0,52984.0
165,Business Intelligence Analyst,Mid,Small,Australia,Contract,100,3.0,74441.0
166,Data Engineer,Mid,Large,USA,Part-time,0,7.0,80190.0
167,AI Engineer,Mid,Small,Canada,Contract,100,7.0,90304.0
168,AI Engineer,Mid,Large,Germany,Part-time,50,9.0,91997.0
169,AI Engineer,Entry,Large,Australia,Part-time,100,11.0,77020.0
170,AI Engineer,Mid,Large,Australia,Part-time,50,10.0,94747.0
171,AI Engineer,Entry,Medium,UK,Full-time,100,12.0,79286.0
172,Data Engineer,Mid,Medium,Australia,Contract,50,10.0,90045.0
173,Data Engineer,Senior,Large,Germany,Full-time,0,7.0,122758.0
174,Data Analyst,Mid,Small,Canada,Contract,100,9.0,104585.0
175,Machine Learning Engineer,Mid,Large,India,Contract,0,7.0,75455.0
176,AI Engineer,Executive,Large,UK,Full-time,50,3.0,144854.0
177,Data Scientist,Senior,Small,Germany,Part-time,100,7.0,134308.0
178,Data Engineer,Senior,Large,USA,Contract,100,8.0,137349.0
179,Data Scientist,Senior,Small,India,Part-time,0,6.0,111528.0
180,Data Scientist,Entry,Medium,India,Full-time,100,13.0,77976.0
181,Data Scientist,Entry,Medium,USA,Part-time,100,11.0,84455.0
182,Data Analyst,Mid,Small,Australia,Contract,0,1.0,88269.0
183,Data Engineer,Entry,Medium,India,Contract,100,8.0,56387.0
184,Data Scientist,Mid,Medium,India,Contract,0,10.0,92521.0
185,AI Engineer,Mid,Small,USA,Full-time,0,7.0,81525.0
186,Business Intelligence Analyst,Mid,Medium,Australia,Contract,0,12.0,101126.0
187,Data Scientist,Senior,Large,Australia,Full-time,0,4.0,113348.0
188,Data Analyst,Senior,Large,USA,Part-time,0,14.0,88269.0
189,Data Engineer,Mid,Small,Australia,Contract,50,11.0,111102.0
190,Data Analyst,Senior,Medium,Australia,Contract,50,2.0,93404.0
191,Data Scientist,Mid,Large,Germany,Contract,0,6.0,74492.0
192,Data Engineer,Senior,Large,Germany,Part-time,50,13.0,147343.0
193,Business Intelligence Analyst,Entry,Medium,USA,Contract,50,13.0,75106.0
194,Data Scientist,Executive,Medium,Canada,Full-time,100,14.0,205195.0
195,Data Analyst,Mid,Large,India,Part-time,0,1.0,58241.0
196,Machine Learning Engineer,Mid,Large,Germany,Part-time,50,12.0,119538.0
197,AI Engineer,Entry,Small,India,Part-time,100,2.0,32575.0
198,Data Analyst,Mid,Small,UK,Part-time,100,11.0,99801.0
199,Data Engineer,Entry,Large,India,Part-time,0,8.0,55580.0
200,Data Scientist,Entry,Small,Canada,Full-time,0,3.0,41598.0
201,AI Engineer,Mid,Large,UK,Part-time,100,3.0,60400.0
202,Data Scientist,Mid,Large,UK,Contract,0,2.0,56875.0
203,Data Engineer,Mid,Small,Australia,Part-time,0,4.0,68656.0
204,Data Scientist,Senior,Small,UK,Part-time,100,2.0,96247.0
205,Machine Learning Engineer,Mid,Medium,USA,Part-time,100,8.0,86177.0
206,AI Engineer,Mid,Medium,Germany,Part-time,0,14.0,117269.0
207,AI Engineer,Entry,Medium,USA,Part-time,50,2.0,34974.0
208,Data Engineer,Senior,Large,Germany,Full-time,0,1.0,88269.0
209,Machine Learning Engineer,Mid,Small,UK,Full-time,50,11.0,113756.0
210,Data Analyst,Executive,Large,UK,Part-time,100,4.0,156167.0
211,Data Scientist,Senior,Small,Canada,Full-time,50,5.0,115380.0
212,Business Intelligence Analyst,Mid,Large,Germany,Contract,100,0.0,46617.0
213,Data Scientist,Entry,Medium,India,Part-time,0,13.0,75303.0
214,Data Scientist,Senior,Medium,Australia,Contract,0,11.0,147683.0
215,Data Analyst,Senior,Medium,India,Contract,100,10.0,146717.0
216,Data Scientist,Entry,Large,Canada,Part-time,100,5.0,46025.0
217,Machine Learning Engineer,Entry,Small,USA,Contract,100,7.0,73715.0
218,Machine Learning Engineer,Senior,Small,Canada,Contract,0,2.0,88269.0
219,AI Engineer,Entry,Medium,India,Contract,0,3.0,25079.0
220,Data Engineer,Senior,Medium,Germany,Part-time,50,5.0,108763.0
221,Business Intelligence Analyst,Mid,Medium,USA,Part-time,100,7.0,85169.0
222,Data Scientist,Entry,Medium,USA,Contract,50,14.0,97116.0
223,Data Scientist,Senior,Small,Germany,Part-time,0,8.0,123976.0
224,Data Analyst,Mid,Large,Canada,Part-time,50,5.0,82768.0
225,Data Engineer,Mid,Large,UK,Contract,50,6.0,72124.0
226,Machine Learning Engineer,Entry,Large,Canada,Part-time,0,14.0,86652.0
227,Business Intelligence Analyst,Entry,Large,India,Full-time,0,13.0,88269.0
228,AI Engineer,Mid,Medium,Australia,Part-time,100,4.0,67176.0
229,Machine Learning Engineer,Mid,Medium,UK,Full-time,50,13.0,123676.0
230,Data Engineer,Mid,Medium,Canada,Contract,0,11.0,107409.0
231,AI Engineer,Senior,Large,Australia,Part-time,0,14.0,162319.0
232,Data Analyst,Mid,Medium,Australia,Contract,50,8.0,80997.0
233,Data Analyst,Entry,Medium,Germany,Contract,0,3.0,36001.0
234,Data Scientist,Mid,Small,India,Contract,100,9.0,89664.0
235,Data Engineer,Senior,Small,India,Contract,100,7.0,148741.0
236,Business Intelligence Analyst,Senior,Medium,India,Contract,50,5.0,123063.0
237,AI Engineer,Mid,Small,UK,Part-time,100,4.0,73117.0
238,Machine Learning Engineer,Entry,Small,USA,Full-time,0,0.0,21231.0
239,Data Engineer,Mid,Medium,UK,Part-time,0,4.0,67440.0
240,Data Engineer,Senior,Medium,Canada,Part-time,0,12.0,159911.0
241,Data Analyst,Senior,Medium,Australia,Part-time,0,4.0,111218.0
242,Data Scientist,Mid,Medium,Australia,Part-time,50,13.0,120608.0
243,Data Scientist,Senior,Large,USA,Full-time,100,8.0,139129.0
244,AI Engineer,Senior,Large,Canada,Part-time,100,0.0,84090.0
245,Data Analyst,Entry,Medium,USA,Contract,0,14.0,87471.0
246,Data Engineer,Mid,Small,Australia,Part-time,50,4.0,63743.0
247,Business Intelligence Analyst,Entry,Medium,UK,Part-time,0,14.0,90196.0
248,Data Analyst,Entry,Medium,India,Full-time,0,6.0,47008.0
249,AI Engineer,Senior,Small,Australia,Full-time,50,10.0,133324.0
250,AI Engineer,Mid,Large,Germany,Contract,50,5.0,73632.0
251,Data Analyst,Mid,Medium,India,Part-time,0,5.0,84641.0
252,AI Engineer,Entry,Medium,Australia,Part-time,100,11.0,65226.0
253,Data Analyst,Mid,Large,UK,Part-time,0,6.0,84863.0
254,Machine Learning Engineer,Entry,Large,USA,Contract,100,5.0,51027.0
255,Data Analyst,Entry,Small,India,Full-time,100,4.0,48785.0
256,Data Analyst,Mid,Large,UK,Contract,50,9.0,89718.0
257,AI Engineer,Entry,Large,Canada,Part-time,50,4.0,47408.0
258,AI Engineer,Mid,Large,Germany,Full-time,0,8.0,85672.0
259,Data Scientist,Entry,Small,India,Full-time,100,13.0,90262.0
260,Data Scientist,Entry,Large,USA,Contract,100,7.0,62254.0
261,Machine Learning Engineer,Entry,Large,Canada,Full-time,0,13.0,78199.0
262,Data Scientist,Mid,Small,UK,Full-time,0,11.0,113129.0
263,Data Analyst,Mid,Large,Germany,Part-time,0,14.0,115270.0
264,AI Engineer,Mid,Large,USA,Part-time,50,9.0,97750.0
265,Data Scientist,Mid,Small,UK,Full-time,0,13.0,112897.0
266,Data Scientist,Senior,Medium,UK,Full-time,0,3.0,103664.0
267,Machine Learning Engineer,Entry,Small,India,Contract,100,3.0,39892.0
268,Data Engineer,Mid,Large,India,Contract,0,7.0,93271.0
269,Machine Learning Engineer,Senior,Large,USA,Full-time,100,4.0,105158.0
270,Data Analyst,Mid,Large,Australia,Part-time,100,12.0,112844.0
271,AI Engineer,Mid,Small,Australia,Full-time,50,12.0,100589.0
272,Machine Learning Engineer,Senior,Large,UK,Full-time,0,2.0,99552.0
273,Data Scientist,Senior,Large,India,Part-time,0,14.0,166267.0
274,AI Engineer,Entry,Small,Germany,Part-time,100,7.0,63268.0
275,AI Engineer,Mid,Medium,Germany,Contract,50,6.0,86159.0
276,Data Scientist,Mid,Medium,UK,Contract,50,4.0,74263.0
277,Machine Learning Engineer,Mid,Large,India,Contract,0,9.0,90399.0
278,Data Scientist,Mid,Small,USA,Contract,100,2.0,58503.0
279,Data Engineer,Mid,Large,USA,Part-time,0,7.0,88269.0
280,AI Engineer,Mid,Small,India,Full-time,0,4.0,88269.0
281,Business Intelligence Analyst,Mid,Small,Germany,Contract,0,2.0,66417.0
282,Business Intelligence Analyst,Senior,Medium,India,Contract,0,9.0,126841.0
283,Data Analyst,Mid,Medium,India,Part-time,100,7.0,64481.0
284,Data Scientist,Entry,Small,Germany,Part-time,50,0.0,11134.0
285,Data Scientist,Mid,Large,USA,Full-time,0,5.0,88269.0
286,Data Analyst,Entry,Medium,USA,Full-time,0,9.0,62771.0
287,Data Analyst,Mid,Large,UK,Part-time,0,7.0,88269.0
288,Data Analyst,Mid,Medium,Australia,Contract,0,3.0,63915.0
289,AI Engineer,Entry,Medium,Canada,Contract,50,7.0,58898.0
290,Data Engineer,Mid,Large,Australia,Contract,50,1.0,46913.0
291,Data Scientist,Entry,Medium,India,Full-time,50,3.0,29297.0
292,AI Engineer,Entry,Medium,India,Contract,50,14.0,81942.0
293,Data Analyst,Mid,Large,India,Contract,0,1.0,62715.0
294,Data Scientist,Mid,Medium,Australia,Part-time,100,0.0,40337.0
295,AI Engineer,Executive,Medium,Canada,Contract,50,9.0,179256.0
296,Data Engineer,Mid,Medium,UK,Part-time,50,12.0,110057.0
297,AI Engineer,Mid,Large,Australia,Contract,0,12.0,108983.0
298,Data Engineer,Mid,Small,Canada,Full-time,0,2.0,69995.0
299,Data Analyst,Entry,Large,India,Contract,0,11.0,81283.0
300,Data Engineer,Executive,Small,USA,Contract,0,7.0,158700.0
301,Data Scientist,Mid,Medium,India,Part-time,100,5.0,77145.0
302,Data Analyst,Senior,Small,Germany,Part-time,100,11.0,141118.0
303,Data Scientist,Entry,Large,India,Part-time,50,6.0,88269.0
304,Business Intelligence Analyst,Mid,Large,Germany,Contract,100,7.0,47122.0
305,Machine Learning Engineer,Mid,Medium,Canada,Contract,50,5.0,76977.0
306,Data Engineer,Senior,Small,USA,Full-time,50,13.0,153250.0
307,Machine Learning Engineer,Entry,Medium,Australia,Contract,100,7.0,63446.0
308,Machine Learning Engineer,Mid,Medium,Germany,Full-time,50,7.0,92638.0
309,Data Engineer,Executive,Large,Canada,Part-time,0,3.0,138688.0
310,Data Analyst,Mid,Small,USA,Part-time,50,5.0,68748.0
311,Business Intelligence Analyst,Mid,Small,Australia,Part-time,0,13.0,111342.0
312,Data Scientist,Entry,Small,Germany,Full-time,100,4.0,46275.0
313,AI Engineer,Executive,Small,India,Contract,100,8.0,173665.0
314,Data Scientist,Entry,Medium,India,Part-time,50,7.0,49130.0
315,AI Engineer,Senior,Medium,India,Contract,0,1.0,88029.0
316,Data Scientist,Senior,Large,Canada,Contract,50,11.0,154230.0
317,Data Engineer,Entry,Medium,India,Part-time,100,12.0,83182.0
318,Business Intelligence Analyst,Mid,Medium,UK,Full-time,50,6.0,74035.0
319,AI Engineer,Entry,Large,USA,Contract,50,6.0,55127.0
320,Data Analyst,Entry,Large,Canada,Part-time,0,10.0,62899.0
321,Data Scientist,Senior,Large,Australia,Contract,100,13.0,154638.0
322,Data Scientist,Senior,Medium,India,Contract,50,13.0,158222.0
323,AI Engineer,Mid,Medium,USA,Contract,0,11.0,112296.0
324,Data Analyst,Mid,Large,Germany,Contract,50,0.0,44242.0
325,Data Analyst,Entry,Large,India,Contract,0,0.0,28095.0
326,Data Engineer,Entry,Large,USA,Full-time,0,11.0,66439.0
327,Data Engineer,Entry,Medium,UK,Full-time,50,3.0,30613.0
328,Data Engineer,Entry,Medium,Germany,Part-time,100,4.0,35375.0
329,Data Engineer,Mid,Small,UK,Full-time,100,7.0,118877.0
330,Data Engineer,Mid,Medium,Australia,Full-time,0,3.0,57466.0
331,Data Engineer,Mid,Medium,USA,Full-time,100,6.0,77824.0
332,Business Intelligence Analyst,Entry,Medium,UK,Contract,0,2.0,32329.0
333,Data Analyst,Mid,Large,Australia,Contract,100,6.0,81630.0
334,Data Engineer,Senior,Medium,USA,Part-time,50,12.0,157349.0
335,Data Analyst,Entry,Large,USA,Part-time,100,7.0,59203.0
336,Data Analyst,Senior,Small,UK,Part-time,0,5.0,111928.0
337,Machine Learning Engineer,Senior,Small,USA,Contract,0,5.0,114111.0
338,Business Intelligence Analyst,Entry,Large,India,Full-time,100,7.0,53120.0
339,Data Engineer,Senior,Large,USA,Full-time,50,7.0,126064.0
340,Data Scientist,Mid,Large,Canada,Contract,0,6.0,87892.0
341,AI Engineer,Mid,Medium,Australia,Part-time,0,5.0,74404.0
342,Data Scientist,Mid,Small,USA,Part-time,0,5.0,65871.0
343,Business Intelligence Analyst,Mid,Large,India,Part-time,0,9.0,97582.0
344,AI Engineer,Mid,Medium,USA,Contract,0,10.0,90863.0
345,Business Intelligence Analyst,Mid,Small,USA,Part-time,50,12.0,114883.0
346,Data Analyst,Mid,Medium,UK,Part-time,100,12.0,112145.0
347,AI Engineer,Mid,Small,India,Contract,50,5.0,68055.0
348,Data Analyst,Mid,Medium,Australia,Full-time,50,7.0,87186.0
349,Data Scientist,Senior,Small,India,Contract,0,0.0,82682.0
350,Data Scientist,Entry,Small,Germany,Contract,50,4.0,42882.0
351,AI Engineer,Entry,Medium,UK,Contract,0,2.0,25278.0
352,AI Engineer,Senior,Large,UK,Contract,50,7.0,148805.0
353,Data Engineer,Mid,Small,India,Full-time,0,7.0,91997.0
354,Business Intelligence Analyst,Entry,Large,UK,Part-time,0,10.0,61872.0
355,Data Engineer,Entry,Medium,India,Contract,50,5.0,46346.0
356,Business Intelligence Analyst,Entry,Large,UK,Full-time,50,13.0,82723.0
357,Data Engineer,Executive,Large,USA,Part-time,100,1.0,138871.0
358,Data Analyst,Mid,Large,India,Part-time,100,14.0,125946.0
359,AI Engineer,Senior,Large,India,Part-time,100,12.0,147189.0
360,Data Scientist,Mid,Large,India,Contract,50,6.0,82752.0
361,Business Intelligence Analyst,Mid,Small,UK,Contract,50,7.0,81565.0
362,Business Intelligence Analyst,Mid,Small,UK,Part-time,0,12.0,106942.0
363,Data Scientist,Mid,Small,India,Part-time,100,4.0,74730.0
364,Data Engineer,Entry,Medium,USA,Part-time,0,7.0,88269.0
365,Business Intelligence Analyst,Senior,Large,USA,Part-time,0,13.0,145244.0
366,Data Analyst,Senior,Small,Australia,Part-time,0,4.0,100020.0
367,AI Engineer,Mid,Medium,USA,Part-time,0,0.0,53917.0
368,Data Scientist,Executive,Small,UK,Full-time,100,8.0,173721.0
369,AI Engineer,Senior,Small,Canada,Part-time,0,7.0,100767.0
370,Business Intelligence Analyst,Mid,Large,India,Contract,50,12.0,110247.0
371,Business Intelligence Analyst,Entry,Medium,Germany,Contract,50,1.0,18515.0
372,Data Scientist,Mid,Large,Canada,Contract,50,3.0,56910.0
373,Data Analyst,Mid,Large,Germany,Part-time,100,13.0,115750.0
374,Machine Learning Engineer,Entry,Small,Canada,Contract,0,12.0,78076.0
375,Data Scientist,Entry,Large,USA,Full-time,100,8.0,68006.0
376,Machine Learning Engineer,Senior,Medium,UK,Part-time,0,1.0,88269.0
377,Data Engineer,Entry,Large,Germany,Contract,100,7.0,29314.0
378,Machine Learning Engineer,Mid,Large,Canada,Full-time,100,1.0,47453.0
379,Data Analyst,Senior,Large,UK,Full-time,0,4.0,102015.0
380,Data Engineer,Senior,Small,Germany,Contract,100,2.0,100236.0
381,Machine Learning Engineer,Entry,Medium,India,Full-time,0,9.0,57800.0
